appId,reviews,IsFraud
com.smart.finance.fund.allocation.planner,I have entered wrong bank account number please tell me how to modify the details it's not working when I'm trying to modify over in application Pending loan I want to quick response,fraud
com.professional.creditscore,"I've tried a lot of financial management apps, but this one stands out. The UI is sleek and intuitive, and I love the way it syncs seamlessly across all my devices. Automatic features like bill reminders and spending tracking save me a lot of time and hassle. And the customer support is excellent - whenever I've had a question or issue, they've responded quickly and helped. Plus, and multi-platform support means I can access my finances from anywhere. It really is a comprehensive and solid money management tool. This financial management app is a game changer! It's super easy to use and has everything I need to take control of my finances. The integration with my bank makes it super convenient to track my transactions, and the personalized recommendations help me make smarter financial choices. Plus, the data security features give me peace of mind. The user interface is intuitive, and the educational resources are very helpful for understanding complex financial concepts. Overall, this app has changed my financial health! This app is a massive scam and poses a serious threat to your privacy. While it might seem convenient for quick access to funds, it secretly accesses sensitive personal data like your contacts and photos. The operators of the app reportedly harass users by contacting them through numerous phone numbers even before the repayment due date. Worse, they may use manipulated or morphed versions of your photos to blackmail you, causing immense distress. For your safety and privacy, it’s highly advisabl This is the worst app I've ever found. I have made the payment even then. the loan is not getting closed. no proper customer support. I have made multiple payments. all the messages have been deleted on the conversations. Here is some screenshot for the same. I am deleting the account. THIS IS FRAUD",fraud
com.mapasss.bitcoinfaucetblast,Fake fake fake fake biggest west time and data MB west application guys don't instaal this application Don't work properly redirectes too much,fraud
com.db.pbc.mybank.in,"Positive and Seamless Banking I've been thoroughly impressed with this mobile banking app. It's made managing my finances a breeze. Transactions are smooth and seamless, allowing me to transfer funds, pay bills, and check balances with ease. The app itself is user-friendly and avoids any clutter, making it a joy to navigate. Overall, a fantastic experience! The app is excellent.Very smooth.It's the backend that sucks. Please add premature closure of FD. Also most shocking - no instant 24x7 transfers in this day and age! Have you guys heard of IMPS and UPI?. PS- UPI has been added in the app after I wrote this. Thanks a lot. Please include card services like temporary blocking etc.(card services ADDED- but no IMPS yet) Why are you making me use the app in landscape mode with the latest update? I am really not comfortable doing that. Also the easier approach to all the functionalities have been changed to a super hard way as if the cellphones are absolutely an equivalent of a laptop. It's so not customer friendly. Sorry but this upgrade is just horrible After the 24aug update. The app fails to open. Tried uninstall and reinstall multiple times. Facing same issue. Please fix it",genuine
com.luckyskeletonstudios.idlebanktycoon,"For an ""idle"" game I've enjoyed it so far. Yes, the ads get annoying but that is the price for playing a free game. My issue is, I'm at level 274, completed challenges, finished my bank, and now I'm waiting for the next bank to be developed. I'll give it another day, but after that the game will be deleted. Ads are not credited correctly. Very often, I have to watch several ads to get 1 ads worth of the promised credit. I have storage space. I have good wifi. So the error is not on my end. I don't mind watching the ads but please don't make me repeat the experience multiple times. One credit per one ad is fair. I've encountered this many times. Please fix. Game has no depth. Wait for cash. Buy a tiny upgrade. Wait forever. In the meantime, spend all your money on a matching game no one asked for. Or have the game play it for you. But it's a requirement for progress. Events scale with level so you can't reach the end goal. To make any progress, you have to watch ads for boost, ads for cash, ads for managers, ad for XP. I played this game for premium currency and it paid less than 1 per ad. Interesting concept and kind of fun but let's be honest there's no end of the game there's no winning so it's endless but even that is ok it's a good time waster. But way, way, way too many ads to progress. Not enough entertainment to offset 200 ads a day just to accomplish some progress. Fun to play at first but becomes a grind very fast. Will uninstall soon",genuine
com.check.bank.balance.banking.tool,I have to keep using this app. For better interaction Best information detail 😡😡Don't trust on positive comments brother. You will definitely regret after downloading this app like me. When i had urgent need i downloaded it to waster my time. Reason: 1. It will show you ads on every click. 2. You will not see your balance here. 3. Misleading App🤡 useless app too many ads please don't download,genuine
com.loanday.emicalculator.firstemichoise.mortgageemicalculator,I hope your good app very goood app simple easy to open and very fast it's a well,fraud
com.meenstudio.bandfguide,"A good app for teens to learn about financial things just before entering a competitive world Additions I would like - Guide for Tax and their types And more interactive things The cash flow management isn't working properly which I think you should try all means to adjust or work towards it, because it's really giving tough time to your clients or the app users To much ads",genuine
com.sbi.SBIFreedomPlus,"Yono lite and Yono Application are very good and user friendly. Both are working nicely, now due to updation of Android 12 and above. All user who have Android 11 and below become helpless for both the application. Suddenly no one can buy new mobile, it's not easy for all. SBI developer team please consider the issue and provide lower version/Application. Thanking you with best regards It is very useful app, but now it is not user friendly because of its limitation(not compatible under android 12). What should one do? Either buy new compatible set, or bye 👋the account! After one year, customers will informed to upgrade their set to Android 13....14.... Is Android 10 or 11 are not safety enough? I think, the app developers should take it in mind what should they do to make it set friendly.... I have upgraded my android version to the supported version, but it still says that the app is not compatible. Very disappointed with the app because after the upgrade of my android, my phone hangs. So it was a useless step I had to take as the app doesn't even work. Update: Had to clear cache. App works now. Sir, Previously I have enjoyed this app very smoothly, but when I am advised to upgrade the version, and playing the upgrade option for this app, but it was not open. I have tried to notice bank branch. They also tell to upgrade further. But now a days a notice displayed ""Your device is not compatible."" Now I am asking you what to do? It is more expensive to buy an another device. Can you help us to run this most useful app on this device. Thanking you. Debashis",genuine
com.appsrx.rxminer,"Very past withdrawal good not bad Not used a paid system yet and not done any withdrawls either. Update, managed to withdraw my investment and arrived well in my wallet. good",fraud
com.benevolend.bbposervices,"Took a day but it passed , should provide details like processing time and fees Approved option is very slowly I am very disappointed with Benevolend. Every time I try to make a repayment, the app displays a 'maintenance' message and instructs me to try again after 30 minutes. I have tried multiple times, yet the issue persists with no update or resolution. This unreliable performance makes it incredibly frustrating to use. I hope the developers address these problems soon. Pretty bad experience. After clearing the dues on time, it is still showing the repayment pending. Prettttty bad experience with UI. Not at all sophisticated app. Won't suggest it to anyone. I have made the payment almost like 24 hrs ago, yet it's not updated plus its giving overdue charges, and a daint on the Cibil score.",fraud
com.transferwise.android,"I have been using Wise for several months now and I am very pleased with how intuitive and responsive it is. I look up exchange rates quickly and easily and I have been able to pay for things in local currency with no issue at all. The security is very high, as I learned, since some of my US paperwork was not fully up to date and I had to correct things to become approved! That has also given me confidence in the platform. Didn't read anything about this app before installing it and was scared if the money from Europe in Euro would get to American bank account. Tried sending several hundred first, it took less than three days before appearing in American bank account. Second transfer I did was done in less than 6 hours without issue! The only issue - taking pictures and providing documents for confirming idenity took several tries. But I definitely recommend this app and will use it for international transfers. Well now this application became a nightmare..after attempting to transfer a large amount. They requested verification. I sent the ID with only one of my last names and got rejected. That I understand. After uploading my passport and was accepted, the software keeps rejectingy transfer. Followed all the customer service instructions , resend etc and the app keeps asking for a good ID. Cancelling my account. Nightmare software loop... Well, I have to say the app is better. Not sure why... The good: transactions happen super fast! Needs improvement: for 2+ yrs of a monthly payment (same amount, same recipient) every single month, without exception, the steps/procedures have had *some* variation over the previous month. I don't know if this is due to the company constantly tweaking the app with the intention of improving it, but it is frustrating and annoying. No messages announcing changes, no error messages. Leave it alone, Wise!",genuine
com.revolut.revolut,"I like that the app is feature rich and UI/UX is superior to any bank or Fintech I used. On the other hand, FX has a hidden fee. There is no official fee, yet selling and buying is at a different price. Overall, Wise is slightly cheaper (fraction of a percent) with their fees included. I prefer their transparency with fees clearly stated and not hidden behind different sell and buy prices. Back up to 4 stars for revolut. Would be 5 stars but the inability to talk to a human over the phone is infuriating when there are issues. Which so far, have been few. I've used revolut in the USA, France, Mexico, Australia and the UK. It has been absolutely seamless moving between and transferring money between all of my accounts. This is what banking should be. I have tried multiple times to verify my identity and it locks up on the document choice screen. I have made sure that the back and front of my Driver's License is clear and that there is proper light. I have tried chatting with the AI support but it's useless, I just keep getting emails stating I need to verify. I give up, I have never had this much of an issue verifying my identity. Absolutely the worst bank I have ever used, constantly declining transactions and freezing your card with reputable merchants, app doesn't work half the time, cannot verify identity if you get locked out, app is buggy and half the features do not work, customer support is no help half the time. I cannot cancel the metal plan without paying a buyout fee, I refuse to pay it, they can continue to charge me 16 or whatever a month, I will not pay it. Awful bank.",genuine
co.uk.getmondo,"As a bank, they're fine. No major issues in 5 years. They really need to do more UX testing on the app though. I'm tech-proficient and I find myself clicking around on various tabs trying to find/do basic things. It's not intuitive at all. I've been using it for years and I still couldn't tell you where half the stuff is if you asked me. Great app and easy to use although some features are unorganised and a bit messy which means when you want to pay someone it will take a while to find to them. More worryingly I had my account emptied out through numerous similar purchases in the USA. How this wasn't flagged as suspicious is beyond me. I noticed it the day after but Monzo took two weeks (!) to refund the £7k. I now only keep very small amounts in this account and use Starling instead. Btw I rarely use my card.... The app doesn't work, I can't progress to opening an account. I get sent a magic link to my email, then get a page saying ""sorry about this... Something's gone wrong"" it's been like that for a month I spoke to customer service who were supposed to arrange a call back to fix things and never heard anything. I tried calling again and went down a phoneline rabbit hole that doesn't accept non customer calls. Do not use the app for bank transfers! You can not download a proof of payment, nor will Monzo provide you one! You can't even grab a screenshot with all the necessary details as that view doesn't exist! With the 'simplified' look it is also too easy to miss adding the reference field. I used to be a fan of Monzo, but that was when I hardly used it for anything. Now, after using it, I am honestly scared of it.",genuine
com.finimize.oban,"Content is amazing. However, poor UI/UX design. Please work on enabling us to save articles and audio files for later. The app needs a good menu for users to choose which kinds of media to consume. Articles? Audios? When from? Analyst Insights or other content? Sometimes I dont just want to read today's news! I signed up to finimize few years back and loved it the email briefs were awesome. I was very excited for the launch of the initial iPhone app and subsequently the Android version but now whenever I try to read the brief in app it asks me to subscribe. All the other options always ask me to subscribe the only 'unlocked packs' are the basics of investing and creating a portfolio. The application may as well be subscriber only since all the content is locked. The app works well just misleading. I'm giving it a 2-star only because I've been a subscriber for their email services for over two years now which is great - highly recommended! As to the app: -wherever you click it leads to the subscribe here section -although the subscription is worth $59.99 (100 BGN in local currency), in the app it costs 134.99 BGN -only an annual subscription -I can't find the ""Unlocked packs"" section with the free to read articles and if I click once without reading it, then I can't access it again The app has great content. However, please stop trying to deduct money from my card. I tried to subscribe to the premium but didn't go through because of limit placed on my card by my bank. I have since cancelled the subscription but everyday you keep trying to deduct the money. If you keep trying that from now till next 5 years you would still be getting the same response. So kindly stop since I am not active on any subscription at the moment. Please stop, it's rather frustrating.",genuine
com.moneylion,"This is a great app that allows access to quick cash when you need it. For that I thank you. The only feedback I can give is that you should give an option for users to request larger amounts of their available funds to avoid having to do multiple transactions and getting charged for each one. I would say maybe charge 2-3 dollars more for larger amounts. 🤔. Just a suggestion! moneylion is a super radical banking app. I would give 5 stars for 1 simple change. I would like a secondary app that is just banking focused. I love all of the features, but sometimes I need to get in quickly without weaving through everything, and I grow frustrated with the extra steps needed to to get to my most recent transactions. it only would save seconds but seconds add up I use this app for cash advances to help with inflation expenses. I appreciate, that these funds are avaliable immediately. However at times my cash advance balances show a certain amount, then I look again and that amount is reduced to $0.00. It almost seems best to take the whole amount at one time. But I don't like to do that, I like it to be there for & incase I need it, not get it all when I don't. MoneyLion is a helpful app with great features like cash advances, credit-building loans, and investing tools. It’s user-friendly and can be a real lifesaver when you need quick cash. However, the app is also quite greedy—you have to pay for faster money transfers, and they push for tips on “free” advances. While it’s a solid financial tool, the constant extra charges and asking for tips on top of the fee is annoying and should be removed.",genuine
com.indbrewardz,"Good but need some improvement. Save card feature to be added to improve user experience. very good app. O K but 100%not satisfaction, it is too lenthy process of collect the points. Why did not you add BSNL operator in mobile recharge section? Try to add BSNL too in mobile recharge option.",genuine
com.lulu.luluone,"It is first time for me to use the service. I would like to thank the team who is handling Lulu Money application. I have used it recently, and the process of activation was very easy and smooth. also, my remittance was credited instantly to my account in my home country. Thanks a lot & keep it up to develop and improve the service. Its my turn to thank Ms Mashita from Sentul Raya Branch, N S Cash Point, Malaysia. She's been Quick in responding, answering my queries as well as solving the issues as quick as possible. Latest review March 2025 I recently visited lulu money centre Ampang to update my documents. They said it will be updated in 30min. 24hrs passed by, but nothing updated. Then I contacted the customer support, they tried all ways but in vain. Even now it is showing error. Why so difficult Simple update While updating my kyc i cannot get passed face recognition . It should be 3 minutes as written but i have been waiting for 10 minutes for face detection and nothing happened . Also i cannot send money to many countries in gulf area especially Qatar .i sent emails and used customer service number but no one replies to me Good app for international transactions",genuine
com.lucky.sweepstakes.match.cash.paypal.win,"Went down to a 4 star because the game seems to be slower, AND, more than half the ads I watch kick me out of the game. I really like the game, I watch the ads cause I understand they help pay for the game, but when I finish the ad then try going back to the game I have to start all over. This has happened multiple times, please fix it. Also, after my account got up to $6.50, I don't seem to be getting any more money wins on the scratch cards, none. At. All. What's up with that? I give 4 stars. I enjoy this game. It's one of my favorite games. Lately it has been crashing and freezing also which is a downfall to me. It has a lot of ads as well. After every play there's an ad .some ads can be shortened, but most of them can't. Regardless of all the above downs I'll still play this game . I hope that these matters get fixed . I would love to give it 5 stars I finally made it to 7 dollars. I've been playing Faithfully, but it doesn't pay out and it was hard to get to $7. No more winnings in the ADS. I understand the ADS help pay for the game. But this is really getting ridiculous. I can't make it to $10 to cash out and get off this game because it's starting to tick me off. If things change, I will keep playing. I really enjoy the graphics. But tfive Cent 25 Cent pay out for playing numerous games. It's kind of ridiculous. This is BY FAR the WORST app I have ever installed! I'm a gamer, I've played hundreds of games of all genres. With that being said, I have come across some horrible ""win real money"" games, but this one owns the title! The way they EXCESSIVELY shove ads down your throat in order to move on to the next level is above and beyond ridiculous! I get the reasoning for ads but I shouldn't be forced to watch an ENTIRE AD just to play the next level! Not to mention you NEVER make enough to cash out!",fraud
com.yahoo.mobile.client.android.finance,"Update August 2024: Their new version 2.0 is easier to use and provides more information that i actually use in making investment decisions. Of course, the 5* rating stays. Very useful for tracking my portfolio. I have a ton of functionality with my broker's website, but this one fills a gap. It's not perfect, but still good enough for 5*. The Yahoo Finance app team has created a fine product by doing what I suggested: putting everything back where it was! Total progress and the day's progress are clearly shown across the top of the screen. Various portfolios are easily viewed as well as how each individual stock and ETF are doing. News is on the News tab where it belongs. Now if they would just put the charts back at the middle of the screen rather than in a box on the right on the desktop site, it will be perfect! Thank U Yahoo! I really like the app and everything it does, but man is it slow and choppy. I haven't used an app in a few years that's as slow as this. It freezes often, it takes a while to load (not Internet, the app itself), even reading articles is choppy. As I scroll the app suddenly hangs and then snaps into position. I move the screen as I read, not my eyes, so this makes it almost too frustrating to ready an article. I have a high end phone with 16gb ram too. I don't understand why it's so laggy. This Yahoo Finance app does not always work correctly. The chart area shows up blank or has serious problems keeping your charting indicators.like the moving average, but everything else seems to work well. I would only use the free version, because paying you may get disappointed because when you really need to use the charring won't work. But all other areas work well and makes it a good app. Giving it 3 stars because when it goes down, it stays down for days on end.",genuine
org.altruist.BajajExperia,"I'm extremely disappointed with the Bajaj Finance app. Despite its functionality for paying EMIs, the app's performance is sluggish and frustrating to use. A major drawback is its inability to display the outstanding balance. Overall, my experience with the app has been subpar, and I would rate it poorly. When I am trying to tap the forget MPIN button it won't work. Either it shows please try again or it will only show half loading and after that it doesn't shows loading. Please fix this issue or tell me what to do because I just updated it to latest version but it won't work , I have very important task to do . So please tell me quickly 🙏🏻 I'm extremely disappointed with the Bajaj Finance app. Despite its functionality for paying EMIs, the app's performance is sluggish and frustrating to use. A major drawback is its inability to display the outstanding balance. Overall, my experience with the app has been subpar, and I would rate it poorly. When I am trying to tap the forget MPIN button it won't work. Either it shows please try again or it will only show half loading and after that it doesn't shows loading. Please fix this issue or tell me what to do because I just updated it to latest version but it won't work , I have very important task to do . So please tell me quickly 🙏🏻",genuine
com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge,"The app’s upper and lower headers contain unnecessary elements, making the design feel cluttered. Additionally, the font size is too large, giving it a childish appearance. Simplifying the headers and reducing the font size would create a more professional, user-friendly experience. Previous Apps was one of the best apps in terms of design and over all. I keep getting notifications from the Kotak 811 app which says ""IMP: app update needed"" but when I open the Play Store and check, the app is already up to date. I have already uninstalled and reinstalled the app, but this app still sends me this annoying notification every now and then. Kotak 811 is a digital banking app with a user-friendly interface and easy account management. The major drawback is its lack of proper notifications and SMS alerts for bank charges. While the app sends alerts for most transactions, it fails to notify users when bank charges are deducted. This includes charges like non-maintenance fees, debit card fees, and other hidden deductions. Users only realize these charges after checking their statements manually, which can be frustrating. 👎👎👎 it's not at all good enough. until and unless uh provide good service . everytime I try to contact customer service I'm unable to do that and when I can contact them they'll say that they we'll let uh know soon .. and that soon didn't came yet . I'm facing issues related to transaction since 27 feb yet that issue haven't solved . and I've shared uh the emails as well still no response. I'm totally disappointed. from ur services and I request you to solve my issue ASAP bcz my work is pending.",genuine
com.shopify.arrive,"Love it for tracking packages, its nice having them all in one place. However, I wish you'd bring dark mode back and the ability to do swipe to archive orders that have been delivered. I hate having to go into each order and archive them, then go back to do another. Removing those two features feels like a huge step backward. I also don't understand why Amazon won't stay connected, I don't even see the point of connecting it will log you out before the item even arrives to you. Getting worse. I think the overall experience is getting worse in regards to identifying and tracking orders. Biggest complaint would be that even though your Amazon account is linked, you can't track it via the app. It only links you to the order, and not the tracking itself. Once it's delivered, you then have to go archive the order. Terrible app when merchant is unreliable. My order showed as pending for three weeks so I contacted the merchant and asked them to cancel. Instead, they then finally processed the order. When I tried to enter a problem with the order on Shop it wouldn't accept the complaint because the order wasn't 30 days old. This platform just assumes everything will be good with orders and customer service is lacking and terrible when there is a problem. I won't use it again for these reasons. This app keeps getting worse and worse. I moved away from using a spreadsheet back in 2022 because It was AMAZING to use. Every subsequent update got worse, drastic UI changes, package updates moved to a sub page, package updates HOURS late, removal of dark mode, can't swipe left to archive packages anymore, bottom bar is a tiny floating window that causes miss-presses. It's basically the Shopify app. If there was an award for worst updates over a 3 year period this would get 1st place.",genuine
com.tdbank,"This app is beautiful. I have had no problems with it. I like the security settings. You can set up a security settings when you try to get into your banking account with not only your fingerprint. But you can also set up so where they send you a code every time you sign in. I love everything about this app. Also there's a setting on the app in the menu you can call them. And you were put in the front of the line for waiting. I recommend banking with TD Bank. They make you feel like family. EDIT: App works great, mobile deposit is greatly improved since the early days. Biometric login also works well. Easy to view accounts, transfer funds, and to send money via Zelle. --- Mobile deposit is garbage. When you take a picture of a check it vibrates the phone for confirmation... ensuring that the image blurs. It NEVER recognizes computer printed payroll checks. Which is fine I guess since no one ever needs to deposit those 😒 I can't believe they updated the login screen, breaking password autofill in the process, and STILL have not fixed it. This is a security issue. Autofill is more secure than clipboard where any app can access it, and breaking that is NOT ok, besides for the extra inconvenience of not having the popup right there. Please fix this. Edit: still a problem in 2025. set your autofill hints in your view or your compose components. Few lines for massive security and QoL improvement For several days, I mostly can't get the app to work right. It takes forever to open, staying on the green screen, and when it finally does, won't allow biometrics or username and password. I've tried closing and reopening the app, restarting, and it once or twice has opened after a restart, but that's not been the norm, and it stopped very quickly after. TD Bank promises convenience. This is not convenient!",genuine
com.finception.finshots.android,"Nice app. I regularly read articles on this. One suggestion: add a feature where I can select the year and month to see the articles published in that month and year. Right now I just need to scroll all the way down and that just doesn't feel nice. Also, it's annoying to read the same line at the beginning ""...if you're someone who loves to keep tabs..."" I'm already reading on the app. I don't need to see this line everyday. Get rid of it please. Hello there! First things first. I love finshots. You guys are doing great 🥳. But there is an issue 😑. Let me get to the point. I have started using a new phone. When I logged in (new phone) , I lost all the bookmarks that I saved in the old phone. This is really bad. I can't sync any of the bookmarks. Now I have to search all those articles again and bookmark it again 😔😒. What if I make a switch again? Please enable synchronization of bookmarks with account. Update 2023 July 20: Just as I feared, the app had a UI overhaul. Now it's sluggish and does not look good at all. Why does every app end up doing this. Old review- The app's UI is exceptional. There is zero lag when navigating between pages, moreover the content is top notch. My only suggestion would be to keep the app simple and not overload it with too many features, which usually results in a less than ideal experience. In its current version, the app is simply a pleasure to use. One of the best app to get crisp and interesting financial news. However the bugs are never fixed :/. I have seen atleast 2 bugs since the last 2 years : 1. Some recent articles go missing. I can see the articles of the last 45 days, but then 3months of articles are not visible. 2. Dark mode of the app is never retained. I have to always manually shift the app to dark mode",genuine
com.transfergo.android,"I ve had a very good experience with my first 2 transfers, the transaction was completed within few minutes with very good rate compared to other Apps. But just can't continue to use it because there seems to be some hidden charges. I know rates fluctuates but the difference in transferGo especially when you are not a First time user is very poor. Rate as of today in Lemfi £1= 2,090 naira, in Oapay it's 2,089 but it's between 1,933- 2,043 in transferGo depending on the amount you want to transfe Transfer made for over 48 hours and it still wouldn't be completed!! Worse case, Customer Service refuses to even reply to your email tickets for hours!!! I used to enjoy this platform but I think it's better I just stop using their service now and move on.... Complete my transfers or give me a REFUND!! PS: Profile fully verified (Address + POF) This app was all along good, but now is a headache thing, customer service are in vacation u will talk alone for hours without respond, they will keep on telling u to update reciver details even though they are correct they will say are wrong, how can reciver details be wrong if u had once send or transfare funds successfully. Their payment team are also in vacation, so disappointed in this thing, even asking for my refund it's like climbing mountain kilimanjaro. Use it at your own risk ! Very helpful app. You can use your native language even when you communicate with support. Edit. I've been using this app with a pleasure for 3 years, but now I cannot send my money from one country to another one (my account) because they need some answers (okay, I replied, but still, they are really private) and additional documents from my bank account and my work. I don't like to give someone this private information. Unfortunately, I have to say ""goodbye"" to this app.",genuine
com.bossrevolution.money.production,"Easy to use and reliable. The exchange rates may be far lower than elsewhere, delivery times may be longer too but there is a generally satisfying results at the end. The multiple delivery options too is a plus. Boss Revolution should upgrade her service level agreements with her partners for a higher service availability as the app at times becomes too slow for my liking, thanks. Has been v. reliable and quick enough compare to Western union. Less worries if more transaction fees would be demanded when money gets to Cameroon 🇨🇲. No questions about who sent and why ? Except for the increase in transaction fees from a $ 1.99 to $3.99 which seem too much to send money less than $2000 to me as my recipients convenietly receive money through Momo, which also has its own withdrawal charges. It was easier and more frequent at the cost of $1.99. After couple months of blocking it's working again, I was just trying yesterday it works, everything was fine except for fee, they say minimum should be $1.99 then I was only giving shot by sending $10 and it changed me $3.99 as fee, almost half of what I was sending. Anyway to pick up the money up I sent required another fee charge($1), which makes it in totally 50% fee. Come on Boss is this some kind of joke or what? Looking forward to hear from you. Hello Boss! it's been month no response,. I have been using Boss Rev for years now.. it was very nice and efficient at the beginning but lately, they are becoming not very reliable. Transaction always has one issue or another. From network failure to needing additional verification, and they will never contact you about it. You will have to call multiple times for thing to get moving.. definitely a some improvement.",genuine
com.sbi.lotusintouch,"Earlier the app was good showing transaction history with balance after every transaction.. so I can view my last week's balance or last month's balence... But now, it is showing only 10 transactions with balance... On command it is showing upto 6 months transactions but not showing balance after every transaction.... It is difficult to see the balance from previous days... Please make this change.... Scan doesn't work properly. Add beneficiary seems nightmare since- You have to fill the entire segment of bank details, (I know for security reasons precaution is a must but typing banking password again while logged in already !) Secondly it crashes in between which means repeating the same steps again and again . Hence, leaving user in frustration . Earlier the app was good showing transaction history with balance after every transaction.. so I can view my last week's balance or last month's balence... But now, it is showing only 10 transactions with balance... On command it is showing upto 6 months transactions but not showing balance after every transaction.... It is difficult to see the balance from previous days... Please make this change.... Scan doesn't work properly. Add beneficiary seems nightmare since- You have to fill the entire segment of bank details, (I know for security reasons precaution is a must but typing banking password again while logged in already !) Secondly it crashes in between which means repeating the same steps again and again . Hence, leaving user in frustration .",genuine
